titre,lien,date_pub,place,prix_partir,prix_m,standing,description
"Les Pavillons Anfa Club, by Yasmine Signature",https://www.mubawab.ma/fr/p/3336/les-pavillons-anfa-club-by-yasmine-signature,Publié il y a plus de 6 mois,Casablanca Finance City à Casablanca,À partir de 1 690 000 DH,Not found!,"['Haut standing', 'Finalisé']","Situé au sein du projet urbain Casa Anfa sur le site historique de l’ancien aéroport d’Anfa, Les Pavillons Anfa Club bénéficient d’une adresse d’exception au cœur de ce futur centre-ville. Il se trouve en effet à la croisée de quartiers emblématiques du CIL et de Beauséjour permettant ainsi de rejoindre rapidement les principaux axes : Boulevard Ghandi, Route d’El Jadida, Boulevard Zerktouni et Boulevard Sidi Abderrahmane.

La conception des Pavillons Anfa Club a été confiée à l’un des plus prestigieux cabinets d'architectes français, la Maison Edouard François.


Bordé d’espaces verts, le projet s’articule autour de deux bâtiments jumelés de 4 étages conçus à l’image d’un hôtel particulier. Il propose des appartements d’exception en simplex, duplex et des suites hôtelières allant de 45 à 300 m2 intégralement ouvertes à la lumière.


Les Pavillons Anfa Club ont été savamment conçus pour tirer le meilleur parti des surfaces et proposer un agencement intelligent et optimal qui s’adapte aux besoins de chacun.
Ils accueillent entre 5 et 15 résidents par immeuble, soit 2 ou 3 appartements par étage. Au rez-de-chaussée, les habitations disposent d’un jardin privatif, tandis que celles du dernier étage possèdent un solarium avec pergola sur le toit.


En consacrant 70% du projet aux espaces verts, aux promenades, et en proposant un parking spacieux au sous-sol, Les Pavillons Anfa Club rend la vie piétonne enfin possible à Casablanca.
Central et très bien desservi, ce projet permet de se rendre rapidement vers les principaux sites touristiques et d’affaires de la ville.

Ce nouveau cadre de vie s’accompagne d’espaces de vie innovants et ultra- fonctionnels. Ces derniers bénéficient d’une exécution et d’une finition de qualité, ainsi que d’un suivi et d’une rigueur totale dans leur réalisation.
Pour répondre aux besoins au quotidien des résidents, des services placés sous le signe de la zénitude sont proposés aux grands et aux petits :

 Kids Club ;
 Studio de Yoga ;
 Coworking Space ;
 Conciergerie ;
 Salle de Fitness ;
 Espace Culturel ;
 Piscine Extérieure ..."
Locaux commerciaux - Ramasakan,https://www.mubawab.ma/fr/p/2987/locaux-commerciaux-ramasakan,Publié il y a plus de 6 mois,Aïn Sebaâ à Casablanca,À partir de 1 357 000 DH,11 500DH / m²,"['Haut standing', 'Finalisé']","Ramasakan, vous propose des locaux commerciaux sécurisés sur AIN SEBAA. Un quartier familial, vivant avec ses nombreux commerces et infrastructures urbaines de proximité. Livraison immédiate.

♣ Caractéristiques :

♣ Magasins :

○ 55 m² à 880 000 DH
○ 108 m² à 1 728 000 DH (Deux façades)

♦ Boulevard de la gare
♦ Donne sur un grand boulevard à fort potentiel d'achalandage (Nouveau quartier résidentiel)
♦ En face d'un hôtel en cours de construction et à proximité du nouveau projet Ibis et de la prochaine gare ferroviaire
♦ Très bel agencement
♦ Équipements de proximité : Gendarmerie, Clinique Ain Sebaa, Conservation foncière.
♦ à proximité du grand Bd Chefchaouni.

○ 118 m² à 1 357 000 DH

♦ Bd Abdelhamid Ibnou badiss
♦ Très bel agencement"
Utopia : vivez dans un cadre  idyllique,https://www.mubawab.ma/fr/p/3209/utopia-vivez-dans-un-cadre%C2%A0-idyllique,Publié il y a plus de 6 mois,Californie à Casablanca,À partir de 1 857 380 DH,Not found!,"['Haut standing', 'En cours de construction']","Utopia, LE 1er complexe résidentiel du quartier Californie !
Imaginez-vous vivre dans un cadre idyllique où une multitude d’espaces de détente et de loisirs au sein même de la résidence : piscine, espaces verts, salle de sport, spa, hammam… Et si nous vous disions que vous n’aurez plus à faire travailler votre imagination, car l’illustration parfaite de vos rêves existe chez UTOPIA !

LE PREMIER complexe résidentiel fermé et sécurisé du quartier Californie, vous propose des appartements haut standing d’une superficie allant de 125 à 127 m² à un prix exceptionnel, 100% déclaré, débutant à 1.857.380 DH uniquement.

Utopia, comme son nom l’indique, est le projet où la perfection prend tout son sens ! Composée de deux fronts bâtis en L et en U parfaitement orientés et à l’architecture résolument moderne, cette résidence fermée et sécurisée dispose d’une multitude d’équipements et d’espaces communs qui vous feront goûter au vrai bonheur. Les allées piétonnes, pensées par des paysagistes de renom, vous feront profiter d’un calme inouï, loin du stress du centre-ville casablancais.
- Piscine semi-olympique et piscine couverte
- Centre de bien-être : salle de sport, hammam et sauna
- Espaces de jeux
- Salle d’étude
- Salle de prière
- Salle de cinéma
- Plus de 4000 m² d’espaces verts

Conçus pour vous permettre de jouir d’un bien-être inégalé au quotidien, les appartements haut standing du projet Utopia proposent des agencements minutieusement étudiés, des équipements de qualité et des finitions irréprochables :
- Appartements de 2, 3 chambres
- Revêtement des sols en marbre
- Cuisines équipées
- Boiserie : portes et placards en chêne naturel
- Places de parking titrées

Grâce à sa situation privilégiée au cœur de l’un des quartiers les plus prisés de Casablanca, Californie, Utopia vous offre une proximité immédiate avec toutes les commodités nécessaires à votre quotidien :
- Commerces de proximité : supermarchés, hypermarchés, restaurants et cafés
- Écoles : crèches, écoles primaires, collèges et lycées
- Santé : pharmacies, cliniques…
- Sorties d’autoroutes
- Transports en commun : taxis, bus…

N’attendez plus et optez pour ce nouvel Eldorado !"
GARDEN II AIN SEBAA,https://www.mubawab.ma/fr/p/2771/garden-ii-ain-sebaa,Publié il y a plus de 6 mois,Aïn Sebaâ à Casablanca,À partir de 770 000 DH,Not found!,"['Moyen standing', 'Finalisé']","Fort du succès du projet GARDEN II AIN SEBAA, DREAM LOG développe un nouveau programme avec la volonté de réaliser un projet d’appartements soigneusement pensé afin de vous offrir une qualité de réalisation et de finition, orchestrés par les meilleurs constructeurs.

Un emplacement privilégié au cœur d’Ain Sebaâ !

Idéalement situé en plein centre de Ain Sebaâ, dans un quartier résidentiel calme à proximité de toutes les commodités, GARDEN II AIN SEBAA vous propose des appartements de standing dans un style alliant luxe, élégance et confort

GARDEN II AIN SEBAA, une résidence d’exception !

Subtil mélange entre une architecture moderne et un style raffiné, GARDEN II AIN SEBAA est un projet résidentiel entièrement sécurisé où chaque espace est conçu pour votre confort.


Le raffinement dans sa plus belle expression !

Les intérieurs au design si particulier ouvrent la perspective d’un nouvel art de vivre dans la sérénité autour d’un jardin privatif.

GARDEN II AIN SEBAA se décline en un large choix d’appartements composés de 2 à 3 chambres avec un salon lumineux, deux salles de bain et une cuisine équipée.

GARDEN II AIN SEBAA vous propose des appartements de superficies variées allant de 77 à 112 m2 bien pensées pour répondre à toutes vos exigences.

Équipements dédiés exclusivement aux résidents !

GARDEN II AIN SEBAA réunit tous les avantages de la vie pratique, à usage exclusif pour les résidents :

• Salle de sport équipée
• Espaces spécialement dédiés aux enfants, comportant une salle de jeux et une salle de lecture.
• Salle polyvalente

Prestations de qualité !

GARDEN II AIN SEBAA vous propose un bel éventail de prestations pour assurer votre bien-être et sécurité :

• Espaces verts privatifs
• Places de parking privatives et titrées
• Système de surveillance pour votre sécurité."
Résidence Les Jasmins I,https://www.mubawab.ma/fr/p/3446/r%C3%A9sidence-les-jasmins-i,Publié il y a plus de 6 mois,Roches Noires à Casablanca,À partir de 823 000 DH,Not found!,"['Moyen standing', 'En cours de construction']","Les Jasmins I : la résidence au meilleur rapport qualité-prix du quartier des Roches Noires !

Érigée en R+5, Les Jasmins I est une résidence stratégiquement située au quartier des Roches Noires, dans la ville de Casablanca, et qui vous propose des appartements de standing d’une superficie qui varie entre 66 et 130 m², à partir de 823 000 DH.
- Immeuble à 3 façades
- Parking sur 2 niveaux
- 2 ascenseurs

Dotés de finitions méticuleuses et d’équipements qui répondent en tous points à l’ensemble de vos attentes, les appartements du projet Les Jasmins I ont été conçus en mettant le confort et le bien-être des futurs habitants au cœur de toutes les préoccupations.
- Marbre dans le salon et hall de l'appartement
- Peinture décorative dans le salon
- Cuisine équipée d’un trio
- Sanitaire d’importation
- Douche à l'italienne
- 2 salles de bains dans chaque appartement
- Placards coulissants en chêne
- Parabole collective

Le quartier des Roches Noires est de plus en plus prisé par les jeunes actifs à la recherche de leur 1ère acquisition en raison de sa proximité directe avec les principales artères de Casablanca et avec toutes les commodités nécessaires à un quotidien facilité.
- À proximité du quartier Ain Sebaâ
- À proximité du centre-ville
- À 7 minutes de la gare Casa Voyageurs
- Écoles
- Supermarchés
- Hypermarchés
- Pharmacies
- Cliniques"
Magasins Zenata Tower,https://www.mubawab.ma/fr/p/3442/magasins-zenata-tower,Publié il y a plus de 6 mois,Zenata,Prix à consulter,19 500DH / m²,"['Moyen standing', 'Finalisé']","Le projet Zenata Tower vous propose des magasins à la vente, au cœur de la ville de Zenata, à deux minutes de la plage et du parc de plusieurs hectares.

Ces magasins accessibles sont dotés d’une superficie variée, et d’une hauteur importante, qui s’adapte à toutes vos activités commerciales.

Ces magasins sont implantés dans une résidence haut standing, intégralement pensée en termes de développement durable, son architecture, son orientation, le choix des matériaux et leur provenance, l’aménagement de jardins intérieurs, la gestion de l’air et de l’eau, le confort hygrothermique mais aussi acoustique, visuel et olfactif ont été pris en compte. Ce nouveau modèle de résidence devrait inscrire Zenata Tower comme icône inspiratrice des futures résidences durables du continent.

Équipement du projet :
• Kids Club
• Piscine
• Parking
• Espaces verts
• Galerie commerciale
• Résidence Fermée et sécurisée
• Gardiennage 24h24
• Équipements sportifs en plein air"
Casabay Sidi Rahal,https://www.mubawab.ma/fr/p/863/casabay-sidi-rahal,Publié il y a plus de 6 mois,Sidi Rahal,À partir de 890 000 DH,Not found!,"['Haut standing', 'Finalisé']","Situé à 25 minutes de Casablanca, Casabay est un complexe résidentiel fermé vous permettant de vous échapper de la métropole et d’apprécier des moments de calme et de confort.

Casabay répond aux normes architecturales les plus exigeantes et allie modernité et finition élégante pour offrir le cadre idéal d’une résidence principale ou secondaire.

CARACTÉRISTIQUES DU PROJET :

Nature du complexe : Résidence fermée sécurisée avec piscines et jardins privatifs
Finition : Carreaux de céramique, cuisine équipée, faux plafonds, pré installation de climatisation, etc… tous les matériaux proposés par le groupe KETTANI Immobilier sont un gage qualité et de sécurité.
Niveau : R+ 2

ÉQUIPEMENTS DU PROJET :
- Espaces verts privés et aménagés
- Piscines privées réservées aux résidents
- Aire de jeux pour enfants
- Résidence fermée et sécurisée
- Caméras de surveillance 24h/24
- Terrains de sport
- Parking


RENSEIGNEMENTS ET CONTACT :
- Découvrez Casabay - Sidi Rahal : https://www.kettani-immobilier.com/casabay
- Découvrez nos projets : http://kettani-immobilier.com
- Notre contrat de confiance : http://kettani-immobilier.com/contrat-de-confiance"
Ocean Park,https://www.mubawab.ma/fr/p/3262/ocean-park,Publié il y a plus de 6 mois,Zenata,À partir de 519 000 DH,Not found!,"['Haut standing', 'En cours de construction']","Idéalement située dans la nouvelle ville de Zenâta, au cœur d'un ambitieux projet de renouvellement urbain, la future adresse du groupe Mfadel sous le nom Ocean Park représente un havre de paix dans un océan de verdure, avec parc et mer en seul vis-à-vis.

Ce projet est doté d’une panoplie d’offres allant des studios jusqu’aux 3 chambres + salon, et des Duplexes, une entité résidentielle à taille humaine, qui bénéficie d’un emplacement stratégique proche de nombreuses commodités (Galerie commerciale, Parcs de plusieurs hectares, Plage...)

Ocean Park est une œuvre architecturale à la fois audacieuse et poétique, abritant des appartements aux pièces vivantes et lumineuses, qui relèvent le défi de l’écoresponsabilité.

- Situation géographique : Le projet Ocean Park vous offre une qualité de vie alliant la nature à l’urbanisme, situé dans un emplacement stratégique entre Casablanca et Mohammedia et face de la mer et d'un parc de plusieurs hectares.

- Diversité de l’offre : Le projet Ocean Park propose des Studios, Appartements et Duplex haut Standing allant d’une chambre + salon à 3 chambres + salon.

- Facilités : Le projet Ocean Park est situé dans la nouvelle Eco-cité de Zenata, le plan de la région présente des pôles résidentiels, des établissements publiques (Hôpitaux, écoles primaires, collèges, lycées, poste de police, mosquées) ainsi que des équipements sportifs, parcs de jeux pour enfants et des pistes cyclables.

Equipements du projet :
 Equipements sportifs
 Piscines
 Espaces verts
 Aire de jeux pour vos enfants
 Parking sous-sol
 Galerie commerciale
 Résidence fermée et sécurisée
 Gardiennage

DÉTENTE ET LOISIR À PROXIMITÉ :

 Dans un emplacement exceptionnel au sein d'un environnement marin et bordé par une végétation naturelle et un parc de plusieurs hectares, OCEAN PARK propose un espace de vie complet et sécurisé.

 A deux pas de la plage de Paloma, OCEAN PARK arbore pleinement la côte atlantique, mêlant soleil et fraîcheur marine. Dans un cadre intimiste de loisir et de détente, le projet propose des prestations de grande qualité à quelques minutes de Casablanca et de Mohammedia.

Disponibilités :
DES SUPERFICIES ET UN AGENCEMENT PENSES DANS LES MOINDRES DÉTAILS
Nous avons à cœur de développer avec nos clients une relation de confiance et de fidélité. Au-delà de l'aspect qualitatif, nos appartements sont réalisés avec style et élégance dans un agencement optimisé et des typologies allant d’une chambre + salon à 3 chambres + salon DUPLEX.

Il ne vous reste plus qu'à meubler ce qui deviendra demain votre havre de paix !"
Résidence Al Kawtar,https://www.mubawab.ma/fr/p/3349/r%C3%A9sidence-al-kawtar,Publié il y a plus de 6 mois,El Mansouria,À partir de 750 000 DH,Not found!,"['Haut standing', 'Finalisé']","En bordure d'océan sur la route côtière Mohammedia-Bouznika, le village balnéaire AL KAWTAR offre sur plus de 10 hectares, un cadre pittoresque à de magnifiques villas et appartements. Bâti dans le plus grand respect de l’art et des traditions arabo-andalouses où le savoir-faire s’associe à merveille au confort moderne et au raffinement de l’artisanat traditionnel marocain.

LES PRESTATIONS DU VILLAGE BALNÉAIRE AL KAWTAR

Dans la résidence, fermée et gardiennée, vous trouverez un centre commercial, un aquapark, de nombreuses piscines dont une couverte pour les femmes, des aires de jeux pour vos enfants ainsi que des courts de tennis et terrains de foot et basket, une salle de fitness, une garderie, un espace restauration et des zones de footing et randonnée. Pour vous garer, pas de soucis : un parking devant votre logement, des parkings en sous-sol numérotés et un grand parking devant la résidence, gardé permettra à vos convives de profiter en toute quiétude de ce lieu unique et majestueux."
California Parc - résidence fermée et sécurisée,https://www.mubawab.ma/fr/p/2893/california-parc-r%C3%A9sidence-ferm%C3%A9e-et-s%C3%A9curis%C3%A9e,Publié il y a plus de 6 mois,Californie à Casablanca,À partir de 1 884 080 DH,Not found!,"['Haut standing', 'Finalisé']","Idéalement située en plein cœur de Californie, California Parc est une résidence fermée et sécurisée empreinte de modernisme et bénéficiant d’une architecture avant-gardiste mise en valeur par des couleurs sophistiquées. Le projet profite d’un cadre de vie ressourçant entouré de 3000 m² d’espaces verts, le tout sans vis-à-vis. Les appartements haut standing se composent de chambres spacieuses et ensoleillées toute la journée, ce qui vous procure une atmosphère où il fait bon de vivre. Cette résidence sécurisée et fermée offre une place de parking titrée pour chaque appartement.

Chez California Parc, le raffinement et l’élégance sont au rendez-vous. Les appartements proposés sont de véritables bijoux bénéficiant de grandes fenêtres et de larges balcons. Les superficies proposées varient entre 106 et 148 m² pour un prix à partir de 1 884 075 dirhams.

Des équipements haut de gamme et raffinés
- Marbre dans le salon et le hall type Crema Marfil
- Parquet stratifié dans les chambres
- Revêtements des murs en : peinture type « KHAYAL »
- Volets roulants électriques avec motorisation et commande centralisée
- Terrasses et balcons : équipés de garde-corps en verre type STADIP
- Climatisation gainable et réversible type TRANE
- Parabole collective
- Portes, placards & dressing en bois de chêne

Le projet California Parc place la nature au cœur de son art de vivre avec ses espaces verts de plus de 3000 m². De plus, même les noms des différents types d’appartements ont été inspirés de noms de plantes et d’arbustes, à savoir : le Laurier, l’Olivier et le Myrthus.
Un environnement animé dans un cadre qui respire la nature
Bénéficiant d’un emplacement stratégique, California Parc vous offre un environnement animé pour votre plus grand plaisir et celui de vos enfants. Aussi, vous gagnerez de votre proximité à Casanearshore et Sidi Maarouf, nouveaux lieux incontournables pour les affaires. Il vous permet également de rester proches de toutes les commodités :
- A proximité de la sortie d’autoroute,
- Supermarchés et hypermarchés,
- Restaurants et cafés,
- Écoles : crèches, écoles primaires, collèges, lycées,
- Banques,
- Salles de sport,
- Hammams-spas,
- Boulangeries-pâtisseries,
- Centre-ville à 5,5 km,
- Mosquées…

Le projet est finalisé et les titres fonciers sont disponibles ! Votre appartement à California Parc n’attend plus que vous !"
Zenata Tower,https://www.mubawab.ma/fr/p/2563/zenata-tower,Publié il y a plus de 6 mois,Zenata,À partir de 519 303 DH,Not found!,"['Haut standing', 'Finalisé']","LA PREMIÈRE TOUR BIOCLIMATIQUE DE 16 ÉTAGES


Après le succès indéniable de la première tranche du projet Zenata Tower sur la nouvelle ville de Zenata, Groupe Mfadel lance la commercialisation de sa 2eme tranche.

Idéalement située en bord de mer, Zenata Tower constitue un havre de paix et de verdure à seulement 5 minutes de Casablanca et 10 minutes de Mohammedia.


Intégralement pensée en termes de développement durable, son architecture, son orientation, le choix des matériaux et leur provenance, l’aménagement de jardins intérieurs, la gestion de l’air et de l’eau, le confort hygrothermique mais aussi acoustique, visuel et olfactif ont été pris en compte. Ce nouveau modèle de résidence devrait inscrire Zenata Tower comme icône inspiratrice des futures résidences durables du continent.

Avantages du projet :
• Proximité : Le projet Zenata Tower est à seulement 5 minutes de Casablanca et 10 min de Mohammedia.
• Diversité de l’offre : Le projet Zenata Tower propose des Studios, Appartements avec une superficie variée
• Commodités : Le projet Zenata Tower est située dans la nouvelle Eco-cité de Zenata , le plan de la région présente des pôles résidentiels, des établissements publiques (Hôpitaux, écoles primaires, collèges, lycées, poste de police, mosquées) ainsi que des équipement sportifs, parcs de jeux pour enfants et des pistes cyclables.

Équipement du projet :
• Kids Club
• Piscine
• Parking
• Espaces verts
• Galerie commerciale
• Résidence Fermée et sécurisée
• Gardiennage 24h24
• Équipements sportifs en plein air"
Atlantic Eden,https://www.mubawab.ma/fr/p/2854/atlantic-eden,Publié il y a plus de 6 mois,Dar Bouazza,À partir de 2 800 000 DH,Not found!,"['Haut standing', 'Finalisé']","Idéalement située à 10 Min du Morocco Mall, et proche de toutes les commodités (Carrefour Hypermarket, M. Bricolage, l’Ecole Belge, …), La Résidence Atlantic Eden propose 48 appartements de haut Standing répartis sur 8 immeubles en R+2, érigés en U.

 Résidence entièrement sécurisée par système de gardiennage 24H/24 dispose de deux grandes piscines avec une partie réservée aux enfants, un espace de jeux et une salle de fitness.

 Parking en sous-sol offrant Deux places de parking par appartement.

Les appartements, d’une superficie de 175 à 250 m² dont 20 à 50 m² de terrasses, se distinguent par la qualité des matériaux et des prestations proposées :
- Appartements traversants Clairs et lumineux
- Terrasses très spacieuses
- Marbre dans les pièces principales et chambres enfants
- Parquet dans la suite principale
- Isolation phonique au sol entre appartements
- Cuisines modernes équipées en Electroménager Whirlpool QUATRO (hotte décorative en verre, Plaque 4 feux en verre noir trempé, Four et Micro-ondes)
- Climatisation en gainable dans la suite parentale et l’espace Salons et Splits muraux Effet miroir dans les chambres de marque CARRIER
- Menuiserie Bois Importée d’Espagne CARRE
- Installation électrique haut de gamme avec un contrôle centralisé de l’Eclairage et des volets roulants (Marque ABB NIESSEN)
- Système de sonorisation dans les espaces de réception
- Sanitaires et Robinetterie JACOB DELAFON
- Revêtement des salles de bains et cuisine en carrelage d’importation 1er choix."
Paradise Beach,https://www.mubawab.ma/fr/p/2755/paradise-beach,Publié il y a plus de 6 mois,El Mansouria,À partir de 960 000 DH,12 000DH / m²,"['Haut standing', 'Finalisé', 'Livraison février 2021']","Idéalement situé sur El Mansouria, le projet « Paradise Beach » s’affiche comme l’un des projets les plus aboutis de la région, avec une architecture novatrice et contemporaine.

Signature du groupe Oubaha Immobilier, « Paradise Beach » vous propose des appartements haut standing dotés de finitions exceptionnelles pour des acquisitions principales ou secondaires.
Finitions proposées :

• Cuisines équipées du trio : four, plaque de cuisson à gaz, hotte aspirante.
• Revêtement de sol en marbre et parquet dans les chambres.
• Menuiserie bois en chêne et placards aménagés intégrés dans toutes les chambres.
• Peinture décorative salon et couloirs KHAYAL
• Sanitaires suspendus créa-vit et douches italiennes extracteur d’aire gainable robinetteries GROHE.
• Pré-installation de la climatisation dans les salons et les chambres.
• Volets électriques et menuiserie aluminium SUPALUMIC.
• Faux plafond et spots en LED intégrés.
• Equipements électriques ALYANS.
• Ascenseurs SHINDLER.
• Antennes paraboliques collectives.
Résidence équipée de : (Ascenseurs, Espaces verts, Parking au sous-sol, vidéo surveillance, deux piscines, terrain omnisports, une salle de Fitness, un café terrasse, un restaurant, un bowling)

La résidence Paradise Beach respire le luxe et raffinement et vous offre l'équilibre parfait entre calme, savoir vivre et harmonie, tout cela en front de mer et en respectant la proximité de toutes commodités : hypermarché, mosquée, écoles, boulangerie, pâtisserie, station-service, plage des sablettes ."
Luxuria Tower,https://www.mubawab.ma/fr/p/3456/luxuria-tower,Publié il y a plus de 6 mois,Casablanca Finance City à Casablanca,À partir de 1 848 000 DH,Not found!,"['Haut standing', 'Finalisé']","Conçue comme une véritable résidence modèle, redéfinissant les standards de la qualité de vie, le projet « Luxuria Tower » propose la nature comme seul vis-à-vis dans la zone de prestige CFC.

Sa conception architecturale s’inspire de l’essence et des codes de l’architecture casablancaise qui ont fait la spécificité de la ville tout au long du XXème siècle.
Cependant, son concept affirme pleinement sa contemporanéité et propose une écriture de son temps, moderne, épurée, légère, blanche, forte et gracile à la fois.

Pensés pour répondre à toutes les attentes et tous les styles de vie, les appartements Luxuria Tower sont agencés de façon à optimiser l’espace et la lumière naturelle, et associent noblesse des matériaux et finitions haut de gamme pour susciter un bien-être sans pareil."
Business Center,https://www.mubawab.ma/fr/p/3142/business-center,Publié il y a plus de 6 mois,Quartier du Parc à Mohammedia,Prix à consulter,99DH / m²,"['Haut standing', 'Finalisé']","Des plateaux de bureau à la location !

Le Business Center est une réalisation signée par le Groupe Mfadel.

Situé à l’intersection de l’Avenue du Parc et de la rue Oued Zam, à Mohammedia, ce R+8 propose des plateaux de bureaux à la location pour une surface totale de près de 1500m² par étage.

Ce Business Center qui bénéficie d’une localisation stratégique, au cœur du centre-ville et à proximité du Parc, est prêt à vous accueillir dans des locaux conçus selon des normes internationales et avec des finitions de qualité.

Avantages : un atout pour l'image de l'entreprise ; une assistance au quotidien ; une grande flexibilité ; une réduction des coûts ; des charges réduites ; des espaces et équipements fonctionnels pensés pour les entreprises ; des services complémentaires facilement accessibles ( 2 minutes de l'hôtel Novotel..) ; Un vivier de rencontres.

Equipements : Parking sous- sol ; Gardiennage 24h/24h ; Résidence fermée et sécurisée ; Conciergerie privée ."
Lotissement Farah Californie,https://www.mubawab.ma/fr/p/3148/lotissement-farah-californie,Publié il y a plus de 6 mois,Californie à Casablanca,À partir de 3 420 000 DH,5 700DH / m²,['Finalisé'],"Lotissement Farah Californie vous propose des lots de terrains destinés à la construction des villas isolées.
Un emplacement idéal, des superficies variées à partir de 600 m² et un prix toute concurrence, 5700 dh/m² .
Pour plus d’informations n’hésitez pas à nous contacter."
Next House Appartements,https://www.mubawab.ma/fr/p/1886/next-house-appartements,Publié il y a plus de 6 mois,Dar Bouazza,À partir de 1 820 000 DH,13 000DH / m²,"['Haut standing', 'Finalisé', 'Livraison décembre 2018']","Dar Bouazza, perle de la façade atlantique aux portes de Casablanca
A seulement 300 mètres de la mer, dans un superbe cadre de verdure, Next House bénéficie d’un emplacement exceptionnel.
Situé à Dar Bouazza, à seulement 10 minutes du Morocco Mall, Next House est le lieu idéal pour profiter de la proximité de la ville et de ses avantages sans son agitation.
Habiter Next House, C’est profiter à chaque instant de la douceur de vivre offerte par Dar Bouazza.

…. Des services de renommée
La mission belge et l’école américaine George Washington se trouvent à Dar Bouazza, à une courte distance de la résidence. Par ailleurs, tous les commerces de proximité (pressing, spa, superette, marché, etc. …) avoisinent Next House, sans compter d’autres commodités en cours réalisation.

… et un large choix de loisirs aux alentours
Golf de 18 tous, AQUAPARK, école de surf, centre de remise en forme, ferme pédagogique, plages privées, hôtels de prestige … autant de loisirs pour se détendre à proximité de votre résidence.

Un cadre de vie préservé
Cet ensemble, de par ses formes architecturales, son aménagement et son orientation, s’intègre parfaitement à son environnement.
La résidence dotée d’une large fait la part belle aux surfaces extérieures pour permettre à ses habitants de bénéficier du cadre paysagé grâce à une vue dégagée.
L’architecte Chakib JAIDI a signé ici une résidence d’exception ou les espaces extérieurs sont à l’image des prestations intérieures : chics, sobres et résolument contemporaines.

Des logements agréables à vivre et aux superficies généreuses
La résidence est composée d’appartements de 2, 3 et 4 chambres qui bénéficient tous d’espaces de vie intérieurs et extérieur aux belles dimensions (jardins ou terrasses).
Les appartements disposent de beaux volumes et d’espaces de vie lumineux et parfaitement agencés.
Le projet est à taille humaine et la réparation des logements forme un cadre de vie préservé et harmonieux.

Des finitions et présentations de qualité pour un confort permanent
Les appartements de Next House bénéficient d’équipements et de prestations de grande qualité procurant confort et bien être.
- Marbre au sol
- Parquet dans les chambres
- Robinetterie et sanitaire contemporains
- Menuiserie aluminium haut de gamme
- Cuisine équipée
- Ascenseur à partir du sous-sol
- Isolation thermique et photonique

Par ailleurs, la résidence est dotée d’un parking souterrain de nouvelle génération avec une place individuelle pour chaque appartement.
La résidence est fermée et sécurisée. Des équipes spécialisées se relayant 24h/24 et 7j/7 pour garantir une optimale."
Atlantis Résidences prés de la mer,https://www.mubawab.ma/fr/p/1807/atlantis-r%C3%A9sidences-pr%C3%A9s-de-la-mer,Publié il y a plus de 6 mois,El Mansouria,À partir de 840 000 DH,Not found!,"['Haut standing', 'Finalisé', 'Livraison mai 2018']","Dernière opportunité a saisir ça reste plus que 4 appartements pieds dans l'eau à proximité de la plage Mimosas la sortie de mohammedia vers bouznika .
Atlantis résidences propose des appartements de haut standing en bord de mer de 66 à 110 m2.

disponible et Livraison immédiate.
- Espaces vert.
- Piscine.
- Aire de Jeux pour enfants.
- Accès direct à la mer.
- Résidence privée et surveillée.
- Totalité des pièces en marbre.
- Cuisine équipée avec table de travail en Noir Absolu.
- Sanitaire Jacob Delafon.
- Menuiserie en chène de qualité supérieure.
- Garde-corps balcons en vitrage Trempé."
Les Jardins d'Atlantis,https://www.mubawab.ma/fr/p/3305/les-jardins-d-atlantis,Publié il y a plus de 6 mois,Errahma,Prix à consulter,8 500DH / m²,"['Haut standing', 'En cours de construction', 'Livraison septembre 2021']","Le projet Les Jardins d'Atlantis bénéficie d'un emplacement idéal au coeur de Casablanca. A proximité immédiate de toutes les commodités. Les Jardins d'Atlantis vous offre une facilité de vie au quotidien.

Les plans ont été soigneusement étudiés pour offrir des volumes généreux et des rangements pratiques et ingénieux . Les appartements bénéficient d'une grande clarté tout au long de la journée balcons ou terrasses.

Les Jardins d'Atlantis est une résidence R+3 (faible densité) proposant 2 à 3 appartements par pallier fermée et sécurisée avec (gardiennage ,ascenseurs OTIS, caméras de surveillance 24h24h ) . Des espace verts arborés cotoient des aires de jeux , la résidence propose des parkings au sous-sol et des halls d'entree lumineux. La résidence est à proximité des nombreux commerces , mosquées et école , accés facile et pratique pour l'aéroport de casablanca, autoroute A1 , arrêt de bus et gare oncf oasis."
